id,listing_url,name,host_id,host_url,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,    price    ,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,reviews_per_month
7011,https://www.airbnb.com/rooms/7011,SEASIDE - Historic Antique Residence,16888,https://www.airbnb.com/users/show/16888,Yumi Adriano,5/13/2009,"Sicily, Italy",within an hour,100%,100%,t,11,12,t,Marsala,37.83969,12.47949,Entire home,Entire home/apt,6,3,3,4,219,3,365,0,0,0,0,32,0,0,8/26/2009,8/8/2024,4.69,4.66,4.86,4.83,4.72,4.59,4.59,IT081011A1HJT5H6NW,t,0.16
22948,https://www.airbnb.com/rooms/22948,BnB Room with Balcony near  Valley of the Temples,88837,https://www.airbnb.com/users/show/88837,Giuseppe,3/5/2010,"Agrigento, Italy",within an hour,100%,100%,t,3,3,t,Agrigento,37.30949,13.58569,Private room in bed and breakfast,Private room,2,1,1,1,45,1,28,13,38,68,130,458,64,4,8/30/2011,9/21/2025,4.82,4.88,4.9,4.86,4.83,4.9,4.86,IT084001C1KUVGVHF9,t,2.67
35264,https://www.airbnb.com/rooms/35264,Etna-sea a panoramic villa,151644,https://www.airbnb.com/users/show/151644,Serena,6/24/2010,"Piedimonte Etneo, Italy",within an hour,100%,77%,t,5,6,t,Piedimonte Etneo,37.82461,15.15876,Farm stay,Entire home/apt,14,3,3,8,109,1,730,28,58,88,361,165,7,1,7/26/2010,9/15/2025,4.8,4.82,4.84,4.88,4.82,4.85,4.77,IT087035B5VYN4LFLN,f,0.89
43992,https://www.airbnb.com/rooms/43992,Two steps from the sea,192525,https://www.airbnb.com/users/show/192525,Gaspare,8/5/2010,"Trapani, Italy",within an hour,100%,93%,t,2,2,t,Erice,38.03442,12.53462,Entire vacation home,Entire home/apt,5,2,2,4,68,5,730,22,24,24,103,81,11,2,4/22/2013,9/11/2025,4.73,4.8,4.61,4.98,4.95,4.56,4.66,IT081008C26PNHNIA6,f,0.53
43995,https://www.airbnb.com/rooms/43995,Villa Verdemare,192525,https://www.airbnb.com/users/show/192525,Gaspare,8/5/2010,"Trapani, Italy",within an hour,100%,93%,t,2,2,t,San Vito Lo Capo,38.16904,12.74028,Entire home,Entire home/apt,8,2,3,8,75,5,730,23,53,83,322,73,6,0,10/15/2012,8/16/2025,4.83,4.79,4.64,4.99,4.93,4.72,4.72,IT081020C2NSGROBUN,f,0.46
44672,https://www.airbnb.com/rooms/44672,Penthouse Cordari Ortigia Island,196573,https://www.airbnb.com/users/show/196573,Francesco,8/9/2010,"Syracuse, Italy",within an hour,100%,100%,t,2,4,t,Siracusa,37.06201,15.29254,Entire condo,Entire home/apt,4,1,1,1,137,3,90,1,31,46,264,187,9,2,9/14/2010,9/8/2025,4.82,4.84,4.83,4.85,4.88,4.96,4.78,IT089017C2ZVNT96IX,f,1.02
45304,https://www.airbnb.com/rooms/45304,Vecchia Girgenti Short Lets,200638,https://www.airbnb.com/users/show/200638,Antonio,8/13/2010,"Agrigento, Italy",within an hour,100%,100%,f,1,1,t,Agrigento,37.31095,13.58545,Entire rental unit,Entire home/apt,5,1,1,3,41,2,7,16,18,18,18,513,45,3,5/1/2013,9/8/2025,4.7,4.85,4.66,4.88,4.94,4.67,4.72,IT084001C2F9GSGRVN,f,3.39
92111,https://www.airbnb.com/rooms/92111,Camere nel centro a pochi mt dal mare,496267,https://www.airbnb.com/users/show/496267,Felice,4/9/2011,"Castellammare del Golfo, Italy",a few days or more,14%,0%,f,2,2,t,Castellammare del Golfo,38.02688599,12.88231373,Entire home,Entire home/apt,2,1,1,1,43,2,1125,30,60,90,365,1,0,0,7/27/2011,7/27/2011,1,0,0,0,0,0,0,IT081005C2OLF2FP32,f,0.01
93746,https://www.airbnb.com/rooms/93746,Villa Artemis,502364,https://www.airbnb.com/users/show/502364,Francesco,4/12/2011,"Graniti, Italy",within an hour,100%,100%,t,2,2,t,Graniti,37.87296,15.2131,Entire villa,Entire home/apt,6,2.5,2,4,102,3,21,7,7,7,66,36,3,0,8/5/2018,8/23/2025,4.94,4.97,5,4.97,5,4.83,4.94,IT083034C2NNL59WXV,t,0.41
94908,https://www.airbnb.com/rooms/94908,Esagono Monello Guest House,506167,https://www.airbnb.com/users/show/506167,Esagono,4/13/2011,"Avola, Italy",N/A,N/A,N/A,f,5,6,t,Avola,36.90817,15.13356,Entire home,Entire home/apt,10,3.5,4,6,300,31,730,0,0,0,184,5,0,0,8/24/2015,8/12/2019,4.6,5,4.8,4.6,5,4.8,4.4,,f,0.04
97137,https://www.airbnb.com/rooms/97137,arancio: ampio apt. ben arredato con vista mare,493217,https://www.airbnb.com/users/show/493217,Paola,4/8/2011,"Sicily, Italy",N/A,N/A,100%,f,4,7,t,Gioiosa Marea,38.17567,14.91854,Entire rental unit,Entire home/apt,8,2,2,5,185,31,365,28,58,88,178,0,0,0,,,,,,,,,,,f,
97433,https://www.airbnb.com/rooms/97433,casa del  mandorlo terrazza vista mare,493217,https://www.airbnb.com/users/show/493217,Paola,4/8/2011,"Sicily, Italy",N/A,N/A,100%,f,4,7,t,Gioiosa Marea,38.17567,14.9167,Entire home,Entire home/apt,5,2,2,5,143,3,29,28,58,88,363,1,1,0,8/19/2025,8/19/2025,4,4,5,4,5,4,4,IT083033C2O6H5DNWZ,f,0.71
